Word,Start Timecode,End Timecode,Speaker
In,00:00:00.02,00:00:00.20,""
a,00:00:00.20,00:00:00.26,""
world,00:00:00.26,00:00:00.71,""
shrouded,00:00:00.71,00:00:01.25,""
by,00:00:01.25,00:00:01.40,""
the,00:00:01.40,00:00:01.49,""
whispers,00:00:01.49,00:00:01.97,""
of,00:00:01.97,00:00:02.15,""
gods,00:00:02.15,00:00:02.60,""
and,00:00:02.60,00:00:02.81,""
"men,",00:00:02.81,00:00:03.35,""
the,00:00:03.38,00:00:03.71,""
brethren,00:00:03.71,00:00:04.19,""
stride,00:00:04.19,00:00:04.64,""
"forth,",00:00:04.64,00:00:05.24,""
their,00:00:05.24,00:00:05.63,""
souls,00:00:05.63,00:00:06.11,""
entwined,00:00:06.11,00:00:06.65,""
with,00:00:06.68,00:00:06.83,""
the,00:00:06.83,00:00:06.92,""
primal,00:00:06.92,00:00:07.37,""
essence,00:00:07.37,00:00:07.91,""
of,00:00:07.91,00:00:08.06,""
the,00:00:08.06,00:00:08.18,""
land.,00:00:08.18,00:00:08.99,""
In,00:00:09.11,00:00:09.53,""
their,00:00:09.56,00:00:09.77,""
"lineage,",00:00:09.77,00:00:10.40,""
a,00:00:10.43,00:00:10.64,""
tapestry,00:00:10.64,00:00:11.21,""
woven,00:00:11.21,00:00:11.54,""
from,00:00:11.54,00:00:11.78,""
"giants,",00:00:11.78,00:00:12.35,""
dwarves,00:00:12.38,00:00:12.95,""
and,00:00:12.95,00:00:13.13,""
humans,00:00:13.13,00:00:13.55,""
"alike,",00:00:13.55,00:00:14.12,""
they,00:00:14.15,00:00:14.54,""
stand,00:00:14.54,00:00:14.93,""
defiant,00:00:14.93,00:00:15.56,""
as,00:00:15.56,00:00:15.68,""
the,00:00:15.68,00:00:15.83,""
unyielding,00:00:15.86,00:00:16.49,""
guardians,00:00:16.49,00:00:17.03,""
of,00:00:17.03,00:00:17.18,""
the,00:00:17.18,00:00:17.27,""
"lodestones,",00:00:17.27,00:00:18.35,""
bearing,00:00:18.47,00:00:19.07,""
the,00:00:19.07,00:00:19.19,""
mantle,00:00:19.19,00:00:19.61,""
of,00:00:19.64,00:00:19.76,""
their,00:00:19.79,00:00:20.03,""
ancient,00:00:20.03,00:00:20.57,""
wisdom.,00:00:20.57,00:00:21.26,""
They,00:00:21.29,00:00:21.68,""
are,00:00:21.68,00:00:21.80,""
warriors,00:00:21.83,00:00:22.40,""
tempered,00:00:22.43,00:00:23.06,""
by,00:00:23.06,00:00:23.27,""
a,00:00:23.27,00:00:23.39,""
fire,00:00:23.39,00:00:23.75,""
that,00:00:23.75,00:00:23.96,""
burns,00:00:23.96,00:00:24.38,""
away,00:00:24.38,00:00:24.74,""
the,00:00:24.74,00:00:24.86,""
shackles,00:00:24.86,00:00:25.34,""
of,00:00:25.34,00:00:25.52,""
hierarchy,00:00:25.52,00:00:26.36,""
and,00:00:26.36,00:00:26.72,""
the,00:00:26.72,00:00:26.81,""
chains,00:00:26.81,00:00:27.32,""
of,00:00:27.32,00:00:27.47,""
tyranny,00:00:27.47,00:00:28.25,""
under,00:00:28.58,00:00:28.97,""
